document_id,date,short_term_sentiment,long_term_sentiment,relevancy_factor
8e781331-89c1-4fb5-8d4c-aac5a1c8dc72,2023-09-11 09:43:03,-1,5,0.6
239ea73a-f4e2-4efa-ac17-e86cd562d4e7,2023-09-11 11:37:51,-7,-3,0.9
ab9e40e7-c42d-4827-809c-c809e7677cb6,2023-09-11 12:55:46,-5,3,0.8
6171f8cc-42d3-48ff-9332-80c5bbabd2d6,2023-09-11 13:26:40,5,3,0.8
f5514976-129e-46cd-b3ca-451436827760,2023-09-12 03:08:47,-4,2,0.8
b0c9c410-f0bd-4e7a-be2e-8fdb219ee256,2023-09-12 08:46:59,7,5,0.9
5ebffb79-c3c3-41d2-aa9f-2af6a2e3521a,2023-09-12 09:05:00,8,5,0.9
aee9f9b0-24cf-4342-89ba-0a5b0812907f,2023-09-12 10:01:00,-5,-7,0.8
1bd23210-8198-4ed8-a125-122e84179536,2023-09-12 12:00:00,-5,-2,0.6
d4f36178-9534-41ea-9231-0f5a5cfad0ad,2023-09-12 12:58:00,2,5,0.75
5d17bc49-98bc-4fd9-9fe0-96363c9548d8,2023-09-12 13:09:10,5,3,0.8
9597e5be-4d7b-45af-82a7-14fb11a8903d,2023-09-12 15:00:12,-5,3,0.6
39d0e3e0-fd35-4b9d-9d45-954108fb3b61,2023-09-13 02:50:00,-1,5,0.9
ecdfce2c-9d21-40f9-b666-39b119c0ac37,2023-09-13 05:13:00,-8,-5,0.95
0eea809d-3329-42c1-83d5-92c69158a277,2023-09-13 09:18:20,-6,-5,0.9
6809e5e8-4dd0-498c-bcf8-2ffbcae79689,2023-09-13 10:45:48,-2,5,0.8
842d4bbf-d52a-4fe2-abc3-8bdee3b6cd7f,2023-09-13 10:54:07,-4,-6,0.9
34dedbd6-4802-4d6a-b6af-8b1841c6a249,2023-09-13 13:42:05,-2,5,0.9
e02e433e-d8ad-4d36-8965-be064d05b50e,2023-09-13 16:06:00,-1,8,0.9
642e4c07-0561-46a3-835a-b80721afdf88,2023-09-13 17:09:59,0,0,0.0
c625d157-4703-44a7-9db5-19b0f00d210b,2023-09-14 05:30:00,-5,-3,0.9
d75477b6-c8e9-4d2f-91b0-6015209f78f6,2023-09-14 06:55:00,-5,-7,0.9
330da5f8-6d0f-421d-9f2f-694750d0cdab,2023-09-14 08:49:18,-1,5,0.8
06b90d50-3640-4f1d-9871-aaabd0b4318a,2023-09-14 10:21:58,-7,-9,0.95
8102f09a-8e62-42d6-b3cc-977af1debf4f,2023-09-14 13:37:44,-1,4,0.6
9f31872f-4d9a-4d03-b3c4-7aa248c35dc5,2023-09-15 05:39:41,7,5,0.9
fd50ad46-5be9-4e2f-8d0d-55a1cb1aab01,2023-09-15 08:29:41,-2,5,0.6
ab2e5b54-50ad-49be-9ee1-9bd16fd2cd3d,2023-09-15 09:58:46,-8,-3,0.9
72b6ac8c-ddc7-4673-9e31-88ad56be7254,2023-09-15 15:31:41,-7,-5,0.9
7cb6c57f-9fc8-443b-bc0a-d5acd4e7e75f,2023-09-16 06:57:06,-2,5,0.75
2469bce6-e998-4c95-9e5d-3259ba18b60f,2023-09-16 09:00:00,-3,0,0.6
