document_id,date,short_term_sentiment,long_term_sentiment,relevancy_factor
6d3e0ab5-670c-472b-8b9c-176e27cfef1b,2022-11-07 07:59:55,-3,-7,0.9
de67c692-a36c-463d-82be-3107d0656f02,2022-11-07 10:39:14,4,7,0.9
b3742eef-ba0d-4762-b785-67f34c7b8ef0,2022-11-07 13:30:00,6,8,0.9
c7f8930c-ca6b-4850-b52c-fe09e2787817,2022-11-07 16:21:19,4,-3,0.9
561a9763-471c-409d-920d-09ad18f8c76a,2022-11-07 16:45:32,2,5,0.8
9176aaf6-cbfe-4d94-a162-6f2593cc12dd,2022-11-07 18:31:20,-3,6,0.9
46d77f39-06c1-433d-82d4-6235c9497f76,2022-11-08 09:28:28,-3,4,0.85
cc034a98-06e3-4d18-8760-646a1ded4e0c,2022-11-08 12:57:24,-5,-2,0.75
93ce30fa-a645-40eb-a1db-f09fec99c1ab,2022-11-08 13:48:10,-3,-5,0.6
fda9f07a-2fd9-46f5-bcf2-e5f9e58e21ae,2022-11-08 14:19:31,-7,5,0.9
4bbeb35e-3cc6-495a-a6f6-45bd61ff1b3f,2022-11-08 18:34:36,-3,5,0.8
0ded48fe-2264-467e-9c60-6023775c6ab5,2022-11-09 05:55:00,-8,-7,0.9
72d0f4a1-7aeb-4956-abe6-fa379ecc9e22,2022-11-09 08:00:42,-4,3,0.8
d8fbc701-0c3f-46be-956e-cb05b2341576,2022-11-09 09:28:20,-5,8,0.9
b3871eef-b9a6-4c8f-9ee6-1939b86cb367,2022-11-09 14:55:21,-5,3,0.6
835c9170-c5ec-47b9-bac3-0da7849a58d6,2022-11-09 17:18:44,-3,5,0.8
3fe7291d-0ac4-4dda-9a06-c35f8f404df0,2022-11-09 18:38:00,-7,2,0.8
85417481-4e21-4e22-9588-5454eebdb12f,2022-11-10 07:53:12,-5,7,0.75
30f563eb-c34f-4b2e-b3d4-9e7d458e8ffb,2022-11-10 09:54:25,-1,3,0.3
50bf5986-ba4a-48af-9d53-70d9709664d3,2022-11-10 10:07:40,-2,7,0.9
66830328-b4c1-4c33-beb3-ea96f3b153de,2022-11-10 10:43:07,-2,5,0.8
5ee4e1dc-f09c-4eb5-bff4-1f729ccf21af,2022-11-10 10:51:17,-4,6,0.9
482ab337-0d6a-4153-af5e-26659507855a,2022-11-10 12:11:10,-5,1,0.6
c2e52daa-d3dc-4b70-a0bd-a98319a01096,2022-11-10 19:20:04,-1,3,0.7
b65333f5-a026-45f7-aa6a-be6d3701c70e,2022-11-11 07:08:34,-8,-5,0.9
ee0ee717-41a9-4a0a-bf7b-43d84bc13a9b,2022-11-11 07:34:23,-5,-3,0.8
d250a539-38c5-4a1a-bb87-a3d5177d95be,2022-11-11 07:57:07,-6,-4,0.8
e7bb314c-1ace-453f-84d7-5939cf5c9cb7,2022-11-11 10:15:09,-5,3,0.8
a073bf5b-cca4-452a-82f6-942ef94840b4,2022-11-11 10:17:37,-2,6,0.65
7653442a-a46e-4c86-b8e8-20d6cc7fd85b,2022-11-11 11:50:15,-5,-3,0.6
25db722b-1d6c-4bdf-a4dc-a61c9ac213aa,2022-11-11 14:35:29,-8,-5,0.95
ed2643fe-5a59-4d7f-922d-8d094f575efc,2022-11-12 09:15:39,-5,2,0.6
2267b190-c607-4eb1-89ce-6de221724020,2022-11-12 11:00:00,-2,4,0.9
c33c967e-72ec-4555-b866-db6f3899dd98,2022-11-12 16:38:17,-1,7,0.9
