document_id,date,short_term_sentiment,long_term_sentiment,relevancy_factor
6d3e0ab5-670c-472b-8b9c-176e27cfef1b,2022-11-07 07:59:55,-3, -5, 0.6
9176aaf6-cbfe-4d94-a162-6f2593cc12dd,2022-11-07 18:31:20,0,0,0
46d77f39-06c1-433d-82d4-6235c9497f76,2022-11-08 09:28:28,0,0,0
cc034a98-06e3-4d18-8760-646a1ded4e0c,2022-11-08 12:57:24,0, 0, 0.1
93ce30fa-a645-40eb-a1db-f09fec99c1ab,2022-11-08 13:48:10,0,0,0
0ded48fe-2264-467e-9c60-6023775c6ab5,2022-11-09 05:55:00,0, -3, 0.4
b5b858db-f977-4b5d-a005-0720c0772618,2022-11-09 07:00:00,0, 0, 0.1
72d0f4a1-7aeb-4956-abe6-fa379ecc9e22,2022-11-09 08:00:42,0, 0, 0.2
b3871eef-b9a6-4c8f-9ee6-1939b86cb367,2022-11-09 14:55:21,0, 0, 0.1
835c9170-c5ec-47b9-bac3-0da7849a58d6,2022-11-09 17:18:44,0, 0, 0.0
3fe7291d-0ac4-4dda-9a06-c35f8f404df0,2022-11-09 18:38:00,0, 0, 0.2
30f563eb-c34f-4b2e-b3d4-9e7d458e8ffb,2022-11-10 09:54:25,0,0,0
50bf5986-ba4a-48af-9d53-70d9709664d3,2022-11-10 10:07:40,0,0,0
482ab337-0d6a-4153-af5e-26659507855a,2022-11-10 12:11:10,0, 0, 0.1
97ddb27e-0958-44aa-b922-cb0ee052723c,2022-11-10 14:21:42,3, 7, 0.8
c2e52daa-d3dc-4b70-a0bd-a98319a01096,2022-11-10 19:20:04,0,0,0
e127a69c-0481-464b-9d06-612e9bcb0422,2022-11-11 07:13:18,5, 7, 0.75
ee0ee717-41a9-4a0a-bf7b-43d84bc13a9b,2022-11-11 07:34:23,0, 0, 0.1
d250a539-38c5-4a1a-bb87-a3d5177d95be,2022-11-11 07:57:07,0,0,0
53653cf4-4c96-4e72-92d2-00c3c521626e,2022-11-11 09:40:00,2, 5, 0.7
e7bb314c-1ace-453f-84d7-5939cf5c9cb7,2022-11-11 10:15:09,-3, 0, 0.4
a073bf5b-cca4-452a-82f6-942ef94840b4,2022-11-11 10:17:37,0,0,0
7653442a-a46e-4c86-b8e8-20d6cc7fd85b,2022-11-11 11:50:15,0, -3, 0.3
25db722b-1d6c-4bdf-a4dc-a61c9ac213aa,2022-11-11 14:35:29,0, 0, 0.1
ed2643fe-5a59-4d7f-922d-8d094f575efc,2022-11-12 09:15:39,0, 0, 0.2
2267b190-c607-4eb1-89ce-6de221724020,2022-11-12 11:00:00,0,0,0
c33c967e-72ec-4555-b866-db6f3899dd98,2022-11-12 16:38:17,0, 0, 0.1
